filename,params_json
real_accel_decel_a0.60_c0.00_x_rep0_20260709_184855.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c0.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_184855""}"
real_accel_decel_a0.80_c0.00_x_rep0_20260709_184855.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.80_c0.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_184855""}"
real_accel_decel_a0.30_c0.50_y_rep0_20260709_184855.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.30_c0.50_y"", ""rep_index"": 0, ""session_id"": ""20260709_184855""}"
real_accel_decel_a0.30_c0.50_y_rep1_20260709_184855.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.30_c0.50_y"", ""rep_index"": 1, ""session_id"": ""20260709_184855""}"
real_accel_decel_a0.60_c0.00_y_rep0_20260709_184855.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c0.00_y"", ""rep_index"": 0, ""session_id"": ""20260709_184855""}"
real_accel_decel_fast_a0.90_c0.00_y_rep1_20260709_184855.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a0.90_c0.00_y"", ""rep_index"": 1, ""session_id"": ""20260709_184855""}"
real_accel_decel_fast_a1.20_c0.15_y_rep1_20260709_184855.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.20_c0.15_y"", ""rep_index"": 1, ""session_id"": ""20260709_184855""}"
real_accel_decel_a0.60_c0.00_x_rep1_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c0.00_x"", ""rep_index"": 1, ""session_id"": ""20260709_185042""}"
real_accel_decel_a0.60_c1.00_x_rep0_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c1.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_accel_decel_a0.60_c0.00_y_rep1_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c0.00_y"", ""rep_index"": 1, ""session_id"": ""20260709_185042""}"
real_accel_decel_a0.60_c0.00_y_rep2_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c0.00_y"", ""rep_index"": 2, ""session_id"": ""20260709_185042""}"
real_accel_decel_a0.60_c0.50_y_rep1_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.60_c0.50_y"", ""rep_index"": 1, ""session_id"": ""20260709_185042""}"
real_offset_turn_v0.20_yr30_rep0_20260709_185042.csv,"{""motif"": ""offset_turn"", ""motif_id"": ""offset_turn_v0.20_yr30"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_sines_y_f0.10-0.30_a0.20_rep0_20260709_185042.csv,"{""motif"": ""sum_of_sines"", ""motif_id"": ""sines_y_f0.10-0.30_a0.20"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_sines_x_f0.10-0.30_a0.40_rep0_20260709_185042.csv,"{""motif"": ""sum_of_sines"", ""motif_id"": ""sines_x_f0.10-0.30_a0.40"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_sines_x_f0.30-0.60_a0.20_rep0_20260709_185042.csv,"{""motif"": ""sum_of_sines"", ""motif_id"": ""sines_x_f0.30-0.60_a0.20"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_sines_y_f0.30-0.60_a0.40_rep0_20260709_185042.csv,"{""motif"": ""sum_of_sines"", ""motif_id"": ""sines_y_f0.30-0.60_a0.40"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_mixed_free_2_rep0_20260709_185042.csv,"{""motif"": ""mixed_free"", ""motif_id"": ""mixed_free_2"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a1.00_c0.00_x_rep0_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.00_c0.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a1.00_c0.15_x_rep0_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.00_c0.15_x"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a1.50_c0.00_x_rep0_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.50_c0.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a1.50_c0.00_x_rep1_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.50_c0.00_x"", ""rep_index"": 1, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a1.50_c0.15_x_rep0_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.50_c0.15_x"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a1.50_c0.15_x_rep1_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.50_c0.15_x"", ""rep_index"": 1, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a1.50_c0.15_x_rep2_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a1.50_c0.15_x"", ""rep_index"": 2, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a0.90_c0.00_y_rep2_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a0.90_c0.00_y"", ""rep_index"": 2, ""session_id"": ""20260709_185042""}"
real_accel_decel_fast_a0.90_c0.15_y_rep0_20260709_185042.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_fast_a0.90_c0.15_y"", ""rep_index"": 0, ""session_id"": ""20260709_185042""}"
