time,meas_r_x,meas_r_y,meas_v_x_dot,meas_v_y_dot,state_z
0.0,0.0,0.0,0.0022559537053557788,-0.005560847496158899,0.402
0.010173320770263672,0.0,0.7372224044996485,0.01060560196551813,-0.040099621581660146,0.402
0.02036571502685547,0.0,0.0,0.04288927541899844,0.03427820827714352,0.402
0.030552148818969727,0.0,0.0,-0.02123696663282723,0.013786302053030261,0.402
0.0407261848449707,0.0,0.0,-0.023722512936938465,0.0345653006817197,0.402
0.05090975761413574,0.0,0.0,0.0019187955486109631,0.0035412253336121746,0.402
0.06107521057128906,0.0,0.0,0.014003170792322023,0.06717181586816724,0.402
0.07123994827270508,0.0,0.0,-0.03432341052695153,0.013271772025121378,0.402
0.0814356803894043,0.7356019081470395,0.0,-0.038322821639815104,-0.014658796728023303,0.402
0.09161019325256348,0.0,0.0,0.007949841314964873,-0.029809078754428453,0.402
0.10178184509277344,0.0,0.0,0.007949841314964873,-0.029809078754428453,0.403
0.11194467544555664,0.0,0.0,-0.09963863974634572,0.01731659664398444,0.403
0.1221151351928711,0.0,0.0,-0.08692206618124743,0.03114645545618973,0.403
0.13234353065490723,0.0,0.0,-0.08514691900427403,0.1079472467948416,0.403
0.1425185203552246,0.0,0.0,-0.09859302796729655,0.07652531726512013,0.404
0.15268445014953613,0.0,-0.7377583902061493,-0.09234151302587289,0.08427672811042514,0.404
0.16284418106079102,0.0,0.7382085279140168,-0.087470754872594,-0.014894265516681954,0.404
0.17300724983215332,0.0,0.0,-0.03472845924350165,-0.027672202293644192,0.404
0.1831824779510498,0.0,0.0,-0.07181639924571043,-0.04033900610870809,0.404
0.19338297843933105,0.0,0.0,-0.05570968256837151,0.0836840539178957,0.4
0.2035679817199707,0.0,0.0,-0.06129985010172574,0.08360093253211942,0.4
0.21373891830444336,0.0,0.0,-0.10100322206842349,0.06716536145085125,0.4
0.2239079475402832,0.0,0.0,0.039430513030648026,0.020286424331772145,0.4
0.23409676551818848,0.0,-0.7361010881010881,-0.10074079627297584,-0.046813578655251764,0.407
0.24431419372558594,0.0,-0.7340399019950997,-0.13254483503108694,0.0942275156664227,0.407
0.25449204444885254,0.0,0.0,-0.07493188609862633,0.12933445870511215,0.407
0.26465392112731934,0.0,-1.4761052977335647,-0.008594293123125034,0.10350585333568686,0.407
