time,meas_r_x,meas_r_y,meas_v_x_dot,meas_v_y_dot,state_z
0.0,-0.36375651186964136,0.3167856012738975,0.10311814500305769,0.09810644054455395,0.396
0.010178804397583008,-0.1064559655003206,0.06397513480836833,0.16691885486813707,-0.027517023272568282,0.396
0.020353078842163086,0.29298544606052196,0.2190897915680437,0.10787074974512167,-0.01658087759721149,0.399
0.030514955520629883,0.09195482194218997,0.017813080279084736,0.12095560815573295,-0.022779285203036723,0.399
0.04078364372253418,0.00461928952321216,0.2607712796767032,0.12213807976984631,0.09087071505335163,0.399
0.05094194412231445,0.08575268335376647,0.03521754466990393,0.13878366785993526,0.04561399032869137,0.399
0.061118125915527344,0.03722723209309324,0.23363572327207952,0.14126371228716372,0.0405474749349007,0.399
0.0713191032409668,0.0026627710538028215,0.18799890861470606,0.13527683777930113,0.022793789417079914,0.397
0.08151102066040039,0.0026627710538028215,0.1881773627701761,0.13527683777930113,0.022793789417079914,0.397
0.09172987937927246,0.16633634980800643,-0.08916154109896572,0.1174343273431817,-0.04412408322434189,0.397
0.1020207405090332,0.1401977620052509,-0.12285245125160603,0.15461586532551025,0.0093175441239087,0.397
0.11219191551208496,0.07842182118153856,-0.16927927090737824,0.08807949179653035,0.02174678822468818,0.398
0.12235903739929199,-0.09501702254684442,-0.18657701858334186,0.0709381614451855,-0.018478051753450516,0.398
0.132523775100708,-0.188018335150356,-0.1307918672828919,0.05473902839647722,0.05151793664844548,0.398
0.14272165298461914,0.260038351014388,-0.11814513261274119,0.08760640298604266,0.11398194977413202,0.398
0.1529393196105957,0.296173570945382,-0.15887785954905032,0.05031521131805622,0.132419131208286,0.398
0.16311025619506836,-0.2651013949804798,-0.174248814257602,-0.043467296526093796,0.08274995958837367,0.398
0.17327499389648438,0.2413929845403087,-0.3984074771446406,-0.06999497892149731,0.17090181224081147,0.398
0.1834709644317627,0.4054594243563944,-0.4337050248165689,-0.009895322997685724,0.17699380622652697,0.398
0.19364261627197266,-0.4658469709218578,-0.472869694194496,-0.1094040042609343,0.15441952431557693,0.398
0.20381879806518555,0.19048229375303852,-0.24890864805057175,-0.1455418195165889,0.1503149487998184,0.398
0.21402835845947266,0.04682697728273047,-0.23346430860052653,-0.20526405342030035,0.22860148741732406,0.393
0.22423458099365234,0.15193331695501988,-0.4698091077729172,-0.17578053384098868,0.2920242472705609,0.393
0.23442649841308594,-0.09462828105109182,-0.456649956537807,-0.26602508196869035,0.18103916540348064,0.393
0.24460172653198242,0.2735837111405807,-0.2441928341770913,-0.33703341660649566,0.17701878882122926,0.393
0.25477123260498047,0.005631285425929749,-0.7078409808412248,-0.3723371280983945,0.36841420779398404,0.393
0.2649364471435547,0.04436760266107311,-0.17706161714841012,-0.3821611352736414,0.49055920418943777,0.393
0.275099515914917,0.14791018508557938,-0.13944727523814562,-0.41547934127773456,0.34204098363755964,0.396
0.2852609157562256,-0.04242242000016061,-0.1182808929898167,-0.5151619748688159,0.3536566353550118,0.396
0.2954518795013428,0.2740308184428701,-0.39048734426439075,-0.5484338064856493,0.3670009093082662,0.396
0.30562853813171387,0.19635063909534387,-0.0543613102350369,-0.6074964846017471,0.4405033891062795,0.396
0.3158226013183594,0.42471005360285974,-0.3177908079040548,-0.5414834857468116,0.4433276908714547,0.395
0.3259885311126709,0.06872121772592947,-0.546865881587745,-0.5834038521644774,0.40843938547431635,0.395
0.33615541458129883,-0.02924453623944864,-0.5393335209593152,-0.6735926868297488,0.42421089642570603,0.395
0.34631848335266113,0.30759246436701276,-0.5064333185301216,-0.7869705055534978,0.5997066117691395,0.395
0.35648298263549805,0.2246837348201341,-0.256645568666141,-0.6899003389314846,0.5945908001011011,0.395
0.36664772033691406,0.19226308791496488,-0.42421106283340354,-0.6862551221478465,0.6073734853373974,0.395
0.3768126964569092,0.24634547351308425,-0.30071735631370294,-0.7139876412378913,0.5632900825329769,0.397
0.3870363235473633,0.3732819241515188,-0.32987853371447373,-0.8710285657103785,0.5690628118243888,0.397
0.3972043991088867,0.3514271327405921,-0.5039970774700918,-0.9456684812570438,0.6149309848749128,0.397
0.4073796272277832,0.3883723668871842,-0.26530459092365577,-1.0195449824717207,0.7068505161676604,0.397
0.41759371757507324,0.16249818524137094,-0.2538251484875387,-0.8631140942630564,0.6852486745605674,0.4
