time,meas_r_x,meas_r_y,meas_v_x_dot,meas_v_y_dot,state_z
0.0,0.04671062827529494,-0.00033992898638642515,0.04307595355406964,0.03848678317172092,0.399
0.010171651840209961,-0.028331980084029235,0.03774422890655986,0.053920823941228775,0.02277870388211165,0.399
0.020352840423583984,0.04092118473619779,0.04837521236861006,0.024074166084824558,0.008403922707766145,0.399
0.030519485473632812,0.004603019398762964,0.021522829214436708,0.006912852148967606,-0.006453572207261164,0.399
0.04077959060668945,0.07718573685911954,0.02826020278705628,0.05096073242666144,-0.08351342155544234,0.399
0.0509493350982666,-0.3659015568141138,-0.026823829490774272,0.02762426235330092,-0.05839782019107325,0.399
0.061106204986572266,-0.17884906125093436,0.25989648414217126,0.0019706503440663145,-0.05319270338202603,0.399
0.07126545906066895,0.08727554314487809,0.04476157246847434,-0.03237218825690407,-0.037855246519791344,0.394
0.08143186569213867,-0.07806184382525486,0.19130908031453478,-0.01786500118227044,-0.05575841454173418,0.394
0.09160923957824707,0.14637968103907756,-0.007709453423279676,-0.002952294406093306,0.03500541114091753,0.394
0.10184645652770996,0.010494792620121866,0.05364832033603922,-0.04561456236314594,0.023748637736215876,0.394
0.11200547218322754,-0.023497453184957558,0.0504533667557982,-0.017251461750610854,0.034039051517536445,0.394
0.12216067314147949,0.11869865357323682,0.03246290900230003,-0.01796922795842719,-0.0066890877281431185,0.401
0.13232898712158203,0.09826667687045114,0.03265713485631553,-0.08747263469156748,-0.022315835148483374,0.401
0.14249014854431152,-0.18720257029745618,0.032797347169959114,-0.07026339170205667,-0.06963271550855075,0.401
0.15264439582824707,0.11359530139108888,0.4029435407581169,-0.08894596338033703,-0.043477351045631406,0.401
0.16279983520507812,-0.5821984229494919,0.06954550090934095,-0.03938320629247481,-0.023216031960728595,0.401
0.17295408248901367,0.10766447273409609,0.23953256588290356,-0.11354289451213104,-0.06583039062654061,0.399
0.18311023712158203,-0.41099661065718796,0.2215041563779932,-0.029069151963347653,-0.01717449533675374,0.399
0.19326162338256836,0.28581562589289716,0.22331378478982683,-0.04480930997980384,-0.1303680148119618,0.399
0.2034149169921875,-0.05387858375706195,0.05945191032732214,-0.05386894524177112,-0.053666315328874524,0.399
0.2135639190673828,-0.22692033764086256,0.08277472188799452,-0.08079419680546632,-0.05279539108496636,0.399
0.2237391471862793,0.020482368398495713,0.06383579744937208,-0.05543645673136138,-0.07443648211303318,0.393
0.23391032218933105,0.14498952765666426,0.6369999297436345,-0.09998399261030559,-0.10215453357602008,0.393
0.24405813217163086,0.06089161818396186,0.2283857371635746,-0.0695880686434837,-0.019505800258565423,0.393
0.25420570373535156,-0.11034249871713656,-0.0010971072156566995,-0.09688358422633055,-0.1380655019728777,0.393
0.26435303688049316,0.06389442560824173,0.01531500592939267,-0.1203922519027132,-0.020674525533700392,0.393
0.2745048999786377,0.09033226027729525,0.05356748878030844,-0.1496305840363204,-0.0903680234210047,0.399
0.2846541404724121,0.049331899245249805,0.02717718350336803,-0.10354572652389543,-0.030178770474063324,0.399
0.29497718811035156,0.10155257186859465,0.47776083544967546,-0.0905235705856946,-0.034515512695823924,0.399
0.3051319122314453,-0.2173853833681155,-0.18547571860569562,-0.11882587483261327,-0.05729488565772169,0.399
