pc_time_s,pc_time_iso,cf_time_ms,session_id,motif_id,motif_type,motif_phase,rep_index,motif_param_json,flight_phase,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rate_deg_s,cmd_height_m,cmd_vx_raw_m_s,cmd_vy_raw_m_s,cmd_yaw_rate_raw_deg_s,cmd_height_raw_m,safety_override_active,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,flow_delta_x_px,flow_delta_y_px,flow_squal,zrange_mm,zrange_m,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,roll_deg,pitch_deg,yaw_deg,kalman_state_z_m,kalman_state_pz,kalman_var_z,kalman_var_pz,battery_v,battery_level_pct,pm_state,motor_m1,motor_m2,motor_m3,motor_m4,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,baro_asl_m,baro_pressure_hpa,baro_temp_c,safety_flag,should_land,event
1783642382.6577456,2026-07-09T17:13:02,,20260709_171258,,,,,,ground_idle,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1783642382.6678863,2026-07-09T17:13:02,204785,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.0056192828342318535,-0.01977149397134781,0.9998540282249451,-0.14101597666740417,-0.12022452056407928,-0.007200728636234999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1783642382.677992,2026-07-09T17:13:02,204795,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.003479568986222148,-0.018730709329247475,0.9994029998779297,0.33018556237220764,0.21597284078598022,-0.04045215994119644,0.0,0.0,88.0,27.0,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1783642382.688108,2026-07-09T17:13:02,204805,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.002460867865011096,-0.016978992149233818,0.9984703660011292,-0.11328403651714325,0.18201595544815063,0.16128313541412354,0.0,0.0,94.0,27.0,0.027,-0.010901068337261677,-0.023376446217298508,0.024806087836623192,-0.0035291037056595087,-0.0042603169567883015,-0.004270466510206461,-1.000253438949585,-0.209745854139328,2.2402865886688232,,,,,,,,,,,,,,,,,,,,,False,
1783642382.698235,2026-07-09T17:13:02,204815,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.003885265439748764,-0.016294466331601143,0.9979938864707947,0.19657574594020844,0.055584002286195755,-0.050564106553792953,-1.0,-1.0,78.0,27.0,0.027,-0.010901068337261677,-0.023376446217298508,0.024806087836623192,-0.0035291037056595087,-0.0042603169567883015,-0.004270466510206461,-1.000253438949585,-0.209745854139328,2.2402865886688232,,,,,,,,,,,,,,,,,,,,,False,
1783642382.7083604,2026-07-09T17:13:02,204825,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.0037370745558291674,-0.017042960971593857,0.9983203411102295,0.11916007101535797,0.09206509590148926,0.07187973707914352,-1.0,-2.0,74.0,27.0,0.027,-0.009866827167570591,-0.022595958784222603,0.025730153545737267,0.0015464192256331444,-0.0004387357912492007,0.0005268874811008573,-1.0234534740447998,-0.2493349015712738,2.239880323410034,,,,,,,,,,,,,,,,,,,,,False,
1783642382.7185078,2026-07-09T17:13:02,204835,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.004694271832704544,-0.016508350148797035,0.9982207417488098,-0.23629988729953766,-0.05107003450393677,-0.08077771961688995,2.0,3.0,80.0,27.0,0.027,-0.009866827167570591,-0.022595958784222603,0.025730153545737267,0.0015464192256331444,-0.0004387357912492007,0.0005268874811008573,-1.0234534740447998,-0.2493349015712738,2.239880323410034,0.02573866955935955,0.0003204943204764277,3.315234152978519e-06,0.00019160508236382157,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,,,,,False,
1783642382.7287152,2026-07-09T17:13:02,204845,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.005449515767395496,-0.021460140123963356,1.0009766817092896,0.05737978219985962,-0.015525851398706436,-0.010445944964885712,0.0,0.0,91.0,27.0,0.027,-0.010868578217923641,-0.023324931040406227,0.025741925463080406,-0.0028823777101933956,-0.0033438107930123806,0.0002620092127472162,-1.0000990629196167,-0.21392206847667694,2.2417831420898438,0.02573866955935955,0.0003204943204764277,3.315234152978519e-06,0.00019160508236382157,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,,,,,False,
1783642382.7390378,2026-07-09T17:13:02,204855,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.0045553818345069885,-0.019197216257452965,1.000272274017334,-0.1524299532175064,-0.11767537146806717,0.15816551446914673,0.0,0.0,83.0,27.0,0.027,-0.010868578217923641,-0.023324931040406227,0.025741925463080406,-0.0028823777101933956,-0.0033438107930123806,0.0002620092127472162,-1.0000990629196167,-0.21392206847667694,2.2417831420898438,0.02573866955935955,0.0003204943204764277,3.315234152978519e-06,0.00019160508236382157,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,,,,,False,
1783642382.749269,2026-07-09T17:13:02,204867,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.004548656288534403,-0.02045293152332306,0.999328076839447,0.10450532287359238,-0.18476533889770508,0.04080616682767868,1.0,1.0,80.0,24.0,0.024,-0.010567924939095974,-0.022636577486991882,0.025013381615281105,-0.001554256770759821,-0.0004076925106346607,-0.0035044928081333637,-1.0250508785247803,-0.22559966146945953,2.2412290573120117,0.02573866955935955,0.0003204943204764277,3.315234152978519e-06,0.00019160508236382157,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,,,,,False,
1783642382.7594576,2026-07-09T17:13:02,204875,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.00466418731957674,-0.01897059753537178,0.998167872428894,0.05972374230623245,0.03187008574604988,-0.06342970579862595,1.0,1.0,80.0,24.0,0.024,-0.010567924939095974,-0.022636577486991882,0.025013381615281105,-0.001554256770759821,-0.0004076925106346607,-0.0035044928081333637,-1.0250508785247803,-0.22559966146945953,2.2412290573120117,0.02573866955935955,0.0003204943204764277,3.315234152978519e-06,0.00019160508236382157,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,,,,,False,
1783642382.7697163,2026-07-09T17:13:02,204885,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.003630703082308173,-0.019476046785712242,0.9996947050094604,0.18904559314250946,0.16445857286453247,0.08118613064289093,1.0,0.0,99.0,24.0,0.024,-0.010847639292478561,-0.023309167474508286,0.024943294003605843,-0.0027349062729626894,-0.0036483865696936846,-0.003595014801248908,-1.0045061111450195,-0.21752412617206573,2.24145245552063,0.024943294003605843,-0.00366739509627223,3.2519853903067997e-06,0.00018975728016812354,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.7799115,2026-07-09T17:13:02,204898,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.004731688182801008,-0.01824260875582695,0.9983852505683899,0.0168556347489357,-0.1841682344675064,-0.11545229703187943,0.0,0.0,95.0,24.0,0.024,-0.010902909561991692,-0.023384975269436836,0.024869311600923538,-0.0028235989157110453,-0.003947223536670208,-0.0037526320666074753,-1.0045061111450195,-0.21752412617206573,2.24145245552063,0.024943294003605843,-0.00366739509627223,3.2519853903067997e-06,0.00018975728016812354,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.7900593,2026-07-09T17:13:02,204907,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.005217932164669037,-0.01875414326786995,0.9986939430236816,0.04258691892027855,-0.17147795855998993,0.18651507794857025,-1.0,-1.0,69.0,24.0,0.024,-0.010902909561991692,-0.023384975269436836,0.024869311600923538,-0.0028235989157110453,-0.003947223536670208,-0.0037526320666074753,-1.0023781061172485,-0.21660254895687103,2.2417173385620117,0.024943294003605843,-0.00366739509627223,3.2519853903067997e-06,0.00018975728016812354,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.800204,2026-07-09T17:13:02,204918,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.006078902166336775,-0.01837838441133499,0.9985194206237793,-0.20277363061904907,-0.24151283502578735,-0.07324536144733429,0.0,0.0,78.0,24.0,0.024,-0.010557886213064194,-0.023026317358016968,0.024429207667708397,-0.0013701242860406637,-0.0022338961716741323,-0.00580622348934412,-1.0023781061172485,-0.21660254895687103,2.2417173385620117,0.024943294003605843,-0.00366739509627223,3.2519853903067997e-06,0.00018975728016812354,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.810351,2026-07-09T17:13:02,204927,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.005361553747206926,-0.018984733149409294,0.9976805448532104,0.13377998769283295,-0.3778505325317383,0.2942532002925873,1.0,1.0,79.0,24.0,0.024,-0.010557886213064194,-0.023026317358016968,0.024429207667708397,-0.0013701242860406637,-0.0022338961716741323,-0.00580622348934412,-1.0157630443572998,-0.22984611988067627,2.239051103591919,0.024943294003605843,-0.00366739509627223,3.2519853903067997e-06,0.00018975728016812354,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28300000000000003,0.393,0.027,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.8205004,2026-07-09T17:13:02,204937,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.0048549966886639595,-0.017102155834436417,0.9991635084152222,0.07239726185798645,-0.29312601685523987,-0.15466798841953278,0.0,0.0,91.0,24.0,0.024,-0.010557886213064194,-0.023026317358016968,0.024429207667708397,-0.0013701242860406637,-0.0022338961716741323,-0.00580622348934412,-1.0157630443572998,-0.22984611988067627,2.239051103591919,0.024370364844799042,-0.005994624458253384,3.2167649806069676e-06,0.0001893646694952622,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.830667,2026-07-09T17:13:02,204947,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.005264680366963148,-0.015250430442392826,0.9988857507705688,-0.10265697538852692,0.2755388915538788,0.029382694512605667,-1.0,-1.0,90.0,24.0,0.024,-0.010924765840172768,-0.023421503603458405,0.024310307577252388,-0.003091435180976987,-0.0038857157342135906,-0.006091983988881111,-1.0060921907424927,-0.21227136254310608,2.2396035194396973,0.024370364844799042,-0.005994624458253384,3.2167649806069676e-06,0.0001893646694952622,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.8408253,2026-07-09T17:13:02,204957,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.004179790150374174,-0.017264313995838165,0.9991201162338257,0.004957391414791346,0.024438852444291115,-0.009234646335244179,-1.0,0.0,82.0,25.0,0.025,-0.010924765840172768,-0.023421503603458405,0.024310307577252388,-0.003091435180976987,-0.0038857157342135906,-0.006091983988881111,-1.0060921907424927,-0.21227136254310608,2.2396035194396973,0.024370364844799042,-0.005994624458253384,3.2167649806069676e-06,0.0001893646694952622,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.85097,2026-07-09T17:13:02,204967,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.003758163657039404,-0.018878307193517685,1.0004068613052368,-0.026829097419977188,0.31445738673210144,0.0012163416249677539,1.0,0.0,88.0,25.0,0.025,-0.01055818609893322,-0.022659575566649437,0.02449488826096058,-0.0015323362313210964,4.954087853548117e-05,-0.004794078413397074,-1.0319008827209473,-0.22870804369449615,2.2410008907318115,0.024370364844799042,-0.005994624458253384,3.2167649806069676e-06,0.0001893646694952622,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.8611114,2026-07-09T17:13:02,204978,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.0030549445655196905,-0.018030710518360138,0.9989007115364075,0.32482054829597473,-0.31695765256881714,-0.1472751945257187,0.0,1.0,94.0,25.0,0.025,-0.01083411555737257,-0.023014726117253304,0.02439938858151436,-0.0025848043151199818,-0.0015313033945858479,-0.004786861594766378,-1.0319008827209473,-0.22870804369449615,2.2410008907318115,0.024370364844799042,-0.005994624458253384,3.2167649806069676e-06,0.0001893646694952622,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7935791015625,810.0270385742188,32.323673248291016,,False,
1783642382.8712547,2026-07-09T17:13:02,204987,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.0036711539141833782,-0.017841892316937447,0.998416006565094,0.3358251750469208,0.1390247941017151,-0.07082730531692505,0.0,-1.0,85.0,25.0,0.025,-0.01083411555737257,-0.023014726117253304,0.02439938858151436,-0.0025848043151199818,-0.0015313033945858479,-0.004786861594766378,-1.0188485383987427,-0.22481657564640045,2.2418317794799805,0.02440006099641323,-0.004811116494238377,3.357049081387231e-06,0.00019634926866274327,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7442626953125,810.0310668945312,32.32954788208008,,False,
1783642382.8813949,2026-07-09T17:13:02,204998,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.005665205419063568,-0.01849924400448799,1.0001304149627686,-0.09685372561216354,-0.2467619627714157,-0.15756173431873322,1.0,1.0,89.0,25.0,0.025,-0.010796784423291683,-0.023315735161304474,0.024302516132593155,-0.0022078510373830795,-0.0028117510955780745,-0.00492953322827816,-1.0188485383987427,-0.22481657564640045,2.2418317794799805,0.02440006099641323,-0.004811116494238377,3.357049081387231e-06,0.00019634926866274327,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7442626953125,810.0310668945312,32.32954788208008,,False,
1783642382.8915408,2026-07-09T17:13:02,205007,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.005040691699832678,-0.01946074701845646,0.9998963475227356,0.09164451062679291,-0.14073194563388824,0.23053599894046783,1.0,0.0,72.0,25.0,0.025,-0.010796784423291683,-0.023315735161304474,0.024302516132593155,-0.0022078510373830795,-0.0028117510955780745,-0.00492953322827816,-1.006551742553711,-0.2256612777709961,2.24122953414917,0.02440006099641323,-0.004811116494238377,3.357049081387231e-06,0.00019634926866274327,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7442626953125,810.0310668945312,32.32954788208008,,False,
1783642382.901869,2026-07-09T17:13:02,205018,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.0039043950382620096,-0.01854914426803589,0.9974649548530579,0.14343737065792084,-0.05193877965211868,0.1293763816356659,-2.0,-1.0,79.0,26.0,0.026,-0.010500817559659481,-0.022964412346482277,0.02498719096183777,-0.0008362953085452318,-0.001157919061370194,-0.00110700074583292,-1.006551742553711,-0.2256612777709961,2.24122953414917,0.02440006099641323,-0.004811116494238377,3.357049081387231e-06,0.00019634926866274327,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7442626953125,810.0310668945312,32.32954788208008,,False,
1783642382.9120226,2026-07-09T17:13:02,205027,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.004633455071598291,-0.020578933879733086,0.9988520741462708,0.08807173371315002,-0.4745052754878998,0.0551794171333313,0.0,1.0,80.0,26.0,0.026,-0.010500817559659481,-0.022964412346482277,0.02498719096183777,-0.0008362953085452318,-0.001157919061370194,-0.00110700074583292,-1.0203579664230347,-0.23513731360435486,2.2401983737945557,0.02440006099641323,-0.004811116494238377,3.357049081387231e-06,0.00019634926866274327,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28,32.766,0.025,2017.7442626953125,810.0310668945312,32.32954788208008,,False,
1783642382.922168,2026-07-09T17:13:02,205038,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.00273481965996325,-0.0202660970389843,0.9990186095237732,-0.058642368763685226,-0.14347146451473236,0.11096172779798508,0.0,0.0,91.0,26.0,0.026,-0.010818833485245705,-0.02299696020781994,0.024961920455098152,-0.0021617156453430653,-0.0016073666047304869,-0.0013935943134129047,-1.0203579664230347,-0.23513731360435486,2.2401983737945557,0.024975303560495377,-0.0013132434105500579,3.291204166089301e-06,0.00019180879462510347,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28200000000000003,0.391,0.027,2017.7442626953125,810.0310668945312,32.32954788208008,,False,
1783642382.932338,2026-07-09T17:13:02,205047,20260709_171258,,,,,,ground_idle,,,,,,,,,False,-0.004460976924747229,-0.018473606556653976,0.9995534420013428,0.0737203061580658,0.11737416684627533,0.03870690241456032,-1.0,0.0,85.0,26.0,0.026,-0.010818833485245705,-0.02299696020781994,0.024961920455098152,-0.0021617156453430653,-0.0016073666047304869,-0.0013935943134129047,-1.0185569524765015,-0.22002442181110382,2.2409462928771973,0.024975303560495377,-0.0013132434105500579,3.291204166089301e-06,0.00019180879462510347,4.080351829528809,90.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.28200000000000003,0.391,0.027,2017.7442626953125,810.0310668945312,32.32954788208008,,False,
