pc_time_s,pc_time_iso,cf_time_ms,session_id,motif_id,motif_type,motif_phase,rep_index,motif_param_json,flight_phase,cmd_vx_m_s,cmd_vy_m_s,cmd_yaw_rate_deg_s,cmd_height_m,cmd_vx_raw_m_s,cmd_vy_raw_m_s,cmd_yaw_rate_raw_deg_s,cmd_height_raw_m,safety_override_active,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,flow_delta_x_px,flow_delta_y_px,flow_squal,zrange_mm,zrange_m,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,roll_deg,pitch_deg,yaw_deg,kalman_state_z_m,kalman_state_pz,kalman_var_z,kalman_var_pz,battery_v,battery_level_pct,pm_state,motor_m1,motor_m2,motor_m3,motor_m4,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,baro_asl_m,baro_pressure_hpa,baro_temp_c,safety_flag,should_land,event
1783703873.5102677,2026-07-10T10:17:53,,20260710_101749,,,,,,ground_idle,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1783703873.5204113,2026-07-10T10:17:53,,20260710_101749,,,,,,ground_idle,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1783703873.5305355,2026-07-10T10:17:53,11845,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.023299528285861015,0.002279846230521798,1.0019806623458862,0.1649971753358841,0.10632006078958511,0.03697151318192482,-1.0,-4.0,59.0,29.0,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1783703873.5406597,2026-07-10T10:17:53,11857,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.02227748930454254,0.0023587397299706936,1.0002435445785522,0.028907261788845062,-0.23397044837474823,-0.1606333702802658,0.0,0.0,58.0,29.0,0.029,0.001728048431687057,-0.0006485128542408347,0.028485462069511414,0.007261354476213455,0.00026904381229542196,0.000989156891591847,0.10379777103662491,1.1258286237716675,0.01066073589026928,,,,,,,,,,,,,,,,,,,,,False,
1783703873.5507953,2026-07-10T10:17:53,11865,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.02269851416349411,0.0024570326786488295,0.9993422627449036,0.0749785527586937,-0.5204330086708069,0.18385286629199982,2.0,1.0,60.0,29.0,0.029,0.001728048431687057,-0.0006485128542408347,0.028485462069511414,0.007261354476213455,0.00026904381229542196,0.000989156891591847,0.10379777103662491,1.1258286237716675,0.01066073589026928,,,,,,,,,,,,,,,,,,,,,False,
1783703873.5609186,2026-07-10T10:17:53,11877,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.022386280819773674,0.000426494050770998,0.9998372793197632,0.15480975806713104,0.23521873354911804,-0.1715737134218216,0.0,1.0,72.0,29.0,0.029,0.00127649016212672,-0.0010933021549135447,0.028510821983218193,0.004600354004651308,-0.001954559236764908,0.0010154293850064278,0.12268541008234024,1.1513837575912476,0.009824910201132298,,,,,,,,,,,,,,,,,,,,,False,
1783703873.571038,2026-07-10T10:17:53,11889,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.02224632538855076,0.0006813653162680566,1.0009039640426636,0.08605115115642548,0.25427061319351196,-0.05808651074767113,-4.0,1.0,50.0,29.0,0.029,0.00127649016212672,-0.0010933021549135447,0.028510821983218193,0.004600354004651308,-0.001954559236764908,0.0010154293850064278,0.12268541008234024,1.1513837575912476,0.009824910201132298,0.028537414968013763,0.001047387602739036,4.6973223106761e-06,0.00022076973982620984,3.7161290645599365,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,False,
1783703873.5811765,2026-07-10T10:17:53,11901,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.020867114886641502,0.003823058446869254,0.9990752935409546,-0.02307288721203804,-0.13934554159641266,0.1505030393600464,4.0,1.0,49.0,30.0,0.03,0.0008264901116490364,-0.0010884521761909127,0.029168207198381424,0.0021258897613734007,-0.002141230506822467,0.004420312121510506,0.12332075089216232,1.172067403793335,0.009065697900950909,0.028537414968013763,0.001047387602739036,4.6973223106761e-06,0.00022076973982620984,3.7161290645599365,10.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.279,32.766,2.836,,,,,False,
1783703873.5913086,2026-07-10T10:17:53,11905,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.020867114886641502,0.003823058446869254,0.9990752935409546,-0.02307288721203804,-0.13934554159641266,0.1505030393600464,0.0,-1.0,56.0,30.0,0.03,0.0008264901116490364,-0.0010884521761909127,0.029168207198381424,0.0021258897613734007,-0.002141230506822467,0.004420312121510506,0.12332075089216232,1.172067403793335,0.009065697900950909,0.028537414968013763,0.001047387602739036,4.6973223106761e-06,0.00022076973982620984,3.7161290645599365,10.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.279,32.766,2.836,,,,,False,
1783703873.6014836,2026-07-10T10:17:53,11921,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.02005598694086075,0.004979054443538189,1.0008320808410645,0.22809746861457825,-0.04914451017975807,-0.05635141581296921,-3.0,-3.0,61.0,30.0,0.03,0.0016777357086539268,-0.00044966439600102603,0.02925879880785942,0.006736427545547485,0.0019061070634052157,0.004460982512682676,0.09493186324834824,1.1354265213012695,0.00892157107591629,0.028537414968013763,0.001047387602739036,4.6973223106761e-06,0.00022076973982620984,3.7161290645599365,10.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.279,32.766,2.836,,,,,False,
1783703873.611646,2026-07-10T10:17:53,11931,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.024131063371896744,0.0010992382885888219,1.0015544891357422,0.11334313452243805,0.3360120952129364,-0.1112111285328865,3.0,2.0,59.0,30.0,0.03,0.0016777357086539268,-0.00044966439600102603,0.02925879880785942,0.006736427545547485,0.0019061070634052157,0.004460982512682676,0.09493186324834824,1.1354265213012695,0.00892157107591629,0.028537414968013763,0.001047387602739036,4.6973223106761e-06,0.00022076973982620984,3.7161290645599365,10.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.279,32.766,2.836,,,,,False,
1783703873.6217928,2026-07-10T10:17:53,11939,20260710_101749,,,,,,ground_idle,,,,,,,,,False,0.024131063371896744,0.0010992382885888219,1.0015544891357422,0.11334313452243805,0.3360120952129364,-0.1112111285328865,-7.0,1.0,53.0,30.0,0.03,0.0010365124326199293,0.0003863746242132038,0.029613854363560677,0.00272071803919971,0.006849478464573622,0.005922796204686165,0.06116856262087822,1.1641045808792114,0.008315077982842922,0.02967381663620472,0.006000415422022343,2.753354465312441e-06,0.00017077625670935959,3.710850477218628,10.0,0.0,0.0,0.0,0.0,0.0,32.766,32.766,0.279,32.766,2.836,,,,,False,
